"행정구역별(1)","특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023
"행정구역별(1)","특성별(1)",특성별(2),계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족,계,매우 만족,약간 만족,보통,약간 불만족,매우 불만족
"전라남도","성별",남자,100.0,3.7,16.5,53.3,21.6,4.9,100.0,3.1,17.4,53.7,19.2,6.6
"전라남도","성별",여자,100.0,3.4,16.8,54.4,20.0,5.3,100.0,3.7,15.9,55.8,20.7,3.9
"경상북도","전체",계,100.0,3.2,12.7,48.2,28.5,7.4,100.0,2.1,16.3,52.1,24.0,5.5
"경상북도","성별",남자,100.0,3.1,12.1,48.9,29.1,6.8,100.0,2.7,16.7,52.3,23.2,5.1
"경상북도","성별",여자,100.0,3.3,13.2,47.5,27.9,8.1,100.0,1.4,15.8,52.0,24.9,5.9
"경상남도","전체",계,100.0,2.4,13.9,50.5,26.4,6.8,100.0,2.0,18.1,50.6,23.3,6.0
"경상남도","성별",남자,100.0,2.1,13.9,49.3,26.5,8.1,100.0,1.9,16.6,54.4,21.0,6.1
"경상남도","성별",여자,100.0,2.6,14.0,51.7,26.3,5.4,100.0,2.1,19.6,46.9,25.5,6.0
"제주특별자치도","전체",계,100.0,4.2,16.0,50.9,22.8,6.0,100.0,2.5,16.4,55.2,20.5,5.3
"제주특별자치도","성별",남자,100.0,4.6,16.0,51.1,21.5,6.7,100.0,1.9,14.2,58.6,20.3,4.9
"제주특별자치도","성별",여자,100.0,3.8,16.0,50.7,24.1,5.3,100.0,3.1,18.5,51.8,20.7,5.8
