"행정구역별(1)","특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023
"행정구역별(1)","특성별(1)",특성별(2),계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족
"충청남도","성별",여자,100.0,76.9,3.9,23.5,37.0,24.8,10.7,100.0,64.2,4.1,25.2,32.7,23.7,14.4
"전북특별자치도","전체",계,100.0,85.6,3.9,22.0,36.6,25.9,11.6,100.0,79.2,3.6,30.7,28.1,24.7,12.8
"전북특별자치도","성별",남자,100.0,90.6,4.2,22.0,35.5,27.3,11.1,100.0,86.4,3.1,30.5,29.3,22.8,14.1
"전북특별자치도","성별",여자,100.0,80.8,3.5,22.1,37.8,24.3,12.3,100.0,72.2,4.2,30.9,26.7,26.9,11.3
"전라남도","전체",계,100.0,84.3,4.0,21.5,39.8,24.2,10.6,100.0,77.8,2.8,27.3,35.7,23.8,10.4
"전라남도","성별",남자,100.0,91.4,3.8,23.7,37.7,24.2,10.5,100.0,86.5,2.9,26.9,35.7,23.5,11.1
"전라남도","성별",여자,100.0,77.2,4.1,18.8,42.3,24.1,10.6,100.0,69.1,2.7,27.8,35.8,24.2,9.5
"경상북도","전체",계,100.0,85.7,3.3,20.0,34.6,29.0,13.0,100.0,79.8,2.3,22.0,36.2,26.0,13.6
"경상북도","성별",남자,100.0,91.9,3.0,20.6,31.7,30.2,14.4,100.0,86.7,2.8,22.9,35.9,25.8,12.7
"경상북도","성별",여자,100.0,79.5,3.6,19.3,37.9,27.7,11.4,100.0,72.7,1.7,20.9,36.5,26.2,14.7
"경상남도","전체",계,100.0,84.1,2.0,21.3,32.6,30.4,13.8,100.0,78.3,2.8,24.1,34.7,25.5,12.9
"경상남도","성별",남자,100.0,91.7,1.6,20.4,33.0,29.5,15.5,100.0,87.5,2.6,23.6,34.5,25.8,13.5
"경상남도","성별",여자,100.0,76.4,2.4,22.3,32.2,31.5,11.6,100.0,69.0,3.1,24.8,34.8,25.2,12.1
"제주특별자치도","전체",계,100.0,87.6,4.8,25.0,34.3,22.5,13.4,100.0,77.7,3.7,29.9,30.8,22.6,13.0
"제주특별자치도","성별",남자,100.0,93.1,4.1,25.1,32.5,22.6,15.6,100.0,83.9,2.7,27.0,31.5,24.5,14.3
"제주특별자치도","성별",여자,100.0,82.2,5.5,24.9,36.3,22.4,10.8,100.0,71.7,4.8,33.3,30.0,20.4,11.5
